train.count:53886200|#timestamp:1605779592752
train.count:86542000|#timestamp:1605779592839
train.count:84499200|#timestamp:1605779592923
train.count:596977500|#timestamp:1605779593520
train.count:684250800|#timestamp:1605779594204
train.count:144663400|#timestamp:1605779594349
train.count:552526300|#timestamp:1605779594901
train.count:40910000|#timestamp:1605779594942
train.count:43498300|#timestamp:1605779594986
train.count:38401400|#timestamp:1605779595024
train.count:68755500|#timestamp:1605779595093
train.count:51628900|#timestamp:1605779595145
train.count:41445700|#timestamp:1605779595186
train.count:41413200|#timestamp:1605779595227
train.count:48330300|#timestamp:1605779595276
train.count:48248600|#timestamp:1605779595324
train.count:56290600|#timestamp:1605779595380
train.count:44983500|#timestamp:1605779595425
train.count:51392400|#timestamp:1605779595477
train.count:69694300|#timestamp:1605779595546
train.count:71855600|#timestamp:1605779595618
train.count:46009200|#timestamp:1605779595664
train.count:52268600|#timestamp:1605779595716
train.count:47567200|#timestamp:1605779595764
train.count:57646200|#timestamp:1605779595822
train.count:68836800|#timestamp:1605779595891
train.count:105281500|#timestamp:1605779595996
train.count:81984500|#timestamp:1605779596078
train.count:54305200|#timestamp:1605779596132
train.count:54886800|#timestamp:1605779596187
train.count:51536200|#timestamp:1605779596239
train.count:46820700|#timestamp:1605779596285
train.count:41747100|#timestamp:1605779596327
train.count:51525100|#timestamp:1605779596378
train.count:108702900|#timestamp:1605779596487
train.count:84351700|#timestamp:1605779596572
train.count:105870500|#timestamp:1605779596677
train.count:190471100|#timestamp:1605779596868
train.count:79765000|#timestamp:1605779596948
train.count:58419500|#timestamp:1605779597007
train.count:74495200|#timestamp:1605779597080
train.count:65757300|#timestamp:1605779597146
train.count:57339800|#timestamp:1605779597204
train.count:87233500|#timestamp:1605779597291
train.count:55216700|#timestamp:1605779597347
train.count:53500100|#timestamp:1605779597399
train.count:78786000|#timestamp:1605779597479
train.count:75742000|#timestamp:1605779597555
train.count:67592200|#timestamp:1605779597621
train.count:78803500|#timestamp:1605779597700
train.count:246974300|#timestamp:1605779597948
train.count:78770300|#timestamp:1605779598026
train.count:134773100|#timestamp:1605779598161
train.count:67538900|#timestamp:1605779598229
train.count:56179800|#timestamp:1605779598285
train.count:49729300|#timestamp:1605779598335
train.count:46402800|#timestamp:1605779598381
train.count:46711800|#timestamp:1605779598428
train.count:43790500|#timestamp:1605779598471
train.count:52510300|#timestamp:1605779598524
train.count:54946100|#timestamp:1605779598579
train.count:58500700|#timestamp:1605779598638
train.count:99435300|#timestamp:1605779598737
train.count:56586600|#timestamp:1605779598793
train.count:60751700|#timestamp:1605779598854
train.count:104699800|#timestamp:1605779598959
train.count:85991100|#timestamp:1605779599045
train.count:70369900|#timestamp:1605779599115
train.count:294560100|#timestamp:1605779599410
train.count:85383000|#timestamp:1605779599495
train.count:73178700|#timestamp:1605779599568
train.count:56150000|#timestamp:1605779599625
train.count:47297700|#timestamp:1605779599672
train.count:48374100|#timestamp:1605779599721
train.count:88798300|#timestamp:1605779599810
train.count:82885300|#timestamp:1605779599892
train.count:116323200|#timestamp:1605779600008
train.count:68305500|#timestamp:1605779600077
train.count:56644300|#timestamp:1605779600134
train.count:52141000|#timestamp:1605779600186
train.count:52463800|#timestamp:1605779600237
train.count:53018800|#timestamp:1605779600291
train.count:54444500|#timestamp:1605779600345
train.count:51916000|#timestamp:1605779600397
train.count:51801100|#timestamp:1605779600449
train.count:59388100|#timestamp:1605779600509
train.count:61222300|#timestamp:1605779600570
train.count:54281500|#timestamp:1605779600624
train.count:53811800|#timestamp:1605779600678
train.count:55083800|#timestamp:1605779600733
train.count:50418500|#timestamp:1605779600783
train.count:48780700|#timestamp:1605779600832
train.count:50132200|#timestamp:1605779600883
train.count:47715500|#timestamp:1605779600930
train.count:45902800|#timestamp:1605779600975
train.count:45977300|#timestamp:1605779601021
train.count:44575800|#timestamp:1605779601066
train.count:45330300|#timestamp:1605779601112
train.count:45225200|#timestamp:1605779601157
train.count:45826000|#timestamp:1605779601203
train.count:46725800|#timestamp:1605779601250
train.count:45849100|#timestamp:1605779601296
train.count:46264300|#timestamp:1605779601341
train.count:45756600|#timestamp:1605779601387
train.count:44689300|#timestamp:1605779601432
train.count:44607900|#timestamp:1605779601477
train.count:47204200|#timestamp:1605779601524
train.count:48685800|#timestamp:1605779601573
train.count:48354300|#timestamp:1605779601621
train.count:50254700|#timestamp:1605779601672
train.count:45302800|#timestamp:1605779601716
train.count:46440000|#timestamp:1605779601763
train.count:43663700|#timestamp:1605779601806
train.count:43889600|#timestamp:1605779601850
train.count:45766800|#timestamp:1605779601896
train.count:47963100|#timestamp:1605779601944
train.count:44669400|#timestamp:1605779601989
train.count:47175700|#timestamp:1605779602036
train.count:50477000|#timestamp:1605779602086
train.count:51046300|#timestamp:1605779602137
train.count:56842200|#timestamp:1605779602194
train.count:178594300|#timestamp:1605779602373
train.count:54989100|#timestamp:1605779602428
train.count:54457100|#timestamp:1605779602482
train.count:51728500|#timestamp:1605779602534
train.count:58210000|#timestamp:1605779602592
train.count:55382900|#timestamp:1605779602648
train.count:67373600|#timestamp:1605779602715
train.count:58897700|#timestamp:1605779602774
train.count:64382000|#timestamp:1605779602838
